dt_package;country;service;liter;qty
2024-12-01;AZ;NRM;A;786.0
2024-12-01;AZ;NRM;B;1338.0
2024-12-01;AZ;NRM;C;406.0
2024-12-01;AZ;NRM;D;144.0
2024-12-01;AZ;NRM;E;21.0
2024-12-01;AZ;NRM;F;1.0
2024-12-01;AZ;NRM;G;1.0
2024-12-01;BY;NRM;A;6232.0
2024-12-01;BY;NRM;B;5078.0
2024-12-01;BY;NRM;C;296.0
2024-12-01;BY;NRM;D;106.0
2024-12-01;BY;NRM;E;5.0
2024-12-01;KG;NRM;A;371.0
2024-12-01;KG;NRM;B;404.0
2024-12-01;KG;NRM;C;97.0
2024-12-01;KG;NRM;D;28.0
2024-12-01;KG;NRM;E;1.0
2024-12-02;AZ;NRM;A;270.0
2024-12-02;AZ;NRM;B;475.0
2024-12-02;AZ;NRM;C;141.0
2024-12-02;AZ;NRM;D;44.0
2024-12-02;AZ;NRM;E;6.0
2024-12-02;BY;NRM;A;2191.0
2024-12-02;BY;NRM;B;1753.0
2024-12-02;BY;NRM;C;126.0
2024-12-02;BY;NRM;D;37.0
2024-12-02;BY;NRM;E;5.0
2024-12-02;BY;NRM;F;1.0
2024-12-02;KG;NRM;A;132.0
2024-12-02;KG;NRM;B;141.0
2024-12-02;KG;NRM;C;26.0
2024-12-02;KG;NRM;D;13.0
2024-12-02;KG;NRM;E;1.0
2024-12-03;AZ;NRM;A;136.0
2024-12-03;AZ;NRM;B;244.0
2024-12-03;AZ;NRM;C;68.0
2024-12-03;AZ;NRM;D;22.0
2024-12-03;AZ;NRM;E;1.0
2024-12-03;BY;NRM;A;720.0
2024-12-03;BY;NRM;B;654.0
2024-12-03;BY;NRM;C;31.0
2024-12-03;BY;NRM;D;7.0
2024-12-03;BY;NRM;E;1.0
2024-12-03;KG;NRM;A;42.0
2024-12-03;KG;NRM;B;56.0
2024-12-03;KG;NRM;C;15.0
2024-12-03;KG;NRM;D;3.0
2024-12-03;KG;NRM;E;1.0
2024-12-04;AZ;NRM;A;360.0
2024-12-04;AZ;NRM;B;682.0
2024-12-04;AZ;NRM;C;175.0
2024-12-04;AZ;NRM;D;52.0
2024-12-04;AZ;NRM;E;3.0
2024-12-04;BY;NRM;A;2420.0
2024-12-04;BY;NRM;B;2079.0
2024-12-04;BY;NRM;C;126.0
2024-12-04;BY;NRM;D;27.0
2024-12-04;BY;NRM;E;4.0
2024-12-04;KG;NRM;A;146.0
2024-12-04;KG;NRM;B;177.0
2024-12-04;KG;NRM;C;42.0
2024-12-04;KG;NRM;D;17.0
2024-12-04;KG;NRM;E;1.0
2024-12-05;AZ;NRM;A;391.0
2024-12-05;AZ;NRM;B;827.0
2024-12-05;AZ;NRM;C;204.0
2024-12-05;AZ;NRM;D;88.0
2024-12-05;AZ;NRM;E;12.0
2024-12-05;BY;NRM;A;2750.0
2024-12-05;BY;NRM;B;2333.0
2024-12-05;BY;NRM;C;148.0
2024-12-05;BY;NRM;D;30.0
2024-12-05;BY;NRM;E;3.0
2024-12-05;KG;NRM;A;164.0
2024-12-05;KG;NRM;B;237.0
2024-12-05;KG;NRM;C;54.0
2024-12-05;KG;NRM;D;22.0
2024-12-05;KG;NRM;E;1.0
2024-12-06;AZ;NRM;A;457.0
2024-12-06;AZ;NRM;B;693.0
2024-12-06;AZ;NRM;C;174.0
2024-12-06;AZ;NRM;D;68.0
2024-12-06;AZ;NRM;E;6.0
2024-12-06;AZ;NRM;F;1.0
2024-12-06;BY;NRM;A;3265.0
2024-12-06;BY;NRM;B;2391.0
2024-12-06;BY;NRM;C;119.0
2024-12-06;BY;NRM;D;41.0
2024-12-06;BY;NRM;E;3.0
2024-12-06;BY;NRM;F;1.0
2024-12-06;KG;NRM;A;273.0
2024-12-06;KG;NRM;B;215.0
2024-12-06;KG;NRM;C;57.0
2024-12-06;KG;NRM;D;17.0
2024-12-06;KG;NRM;E;1.0
2024-12-08;AZ;NRM;A;719.0
2024-12-08;AZ;NRM;B;1251.0
2024-12-08;AZ;NRM;C;358.0
2024-12-08;AZ;NRM;D;128.0
2024-12-08;AZ;NRM;E;20.0
2024-12-08;AZ;NRM;F;1.0
2024-12-08;BY;NRM;A;4089.0
2024-12-08;BY;NRM;B;3527.0
2024-12-08;BY;NRM;C;205.0
